pcode,name,province_pcode,region_pcode,population
PH0102801,Adams,PH01028,PH01,1835
PH0102802,Bacarra,PH01028,PH01,32994
PH0102803,Badoc,PH01028,PH01,32480
PH0102804,Bangui,PH01028,PH01,15079
PH0102805,City of Batac,PH01028,PH01,56702
PH0102806,Burgos,PH01028,PH01,10013
PH0102807,Carasi,PH01028,PH01,1708
PH0102808,Currimao,PH01028,PH01,12523
PH0102809,Dingras,PH01028,PH01,40386
PH0102810,Dumalneg,PH01028,PH01,3589
PH0102811,Banna (Espiritu),PH01028,PH01,19981
PH0102812,Laoag City (Capital),PH01028,PH01,120140
PH0102813,Marcos,PH01028,PH01,18789
PH0102814,Nueva Era,PH01028,PH01,13273
PH0102815,Pagudpud,PH01028,PH01,26960
PH0102816,Paoay,PH01028,PH01,25871
PH0102817,Pasuquin,PH01028,PH01,30085
PH0102818,Piddig,PH01028,PH01,22580
PH0102819,Pinili,PH01028,PH01,17867
PH0102820,San Nicolas,PH01028,PH01,40691
PH0102821,Sarrat,PH01028,PH01,25854
PH0102822,Solsona,PH01028,PH01,25610
PH0102823,Vintar,PH01028,PH01,33190
PH0102901,Alilem,PH01029,PH01,6879
PH0102902,Banayoyo,PH01029,PH01,7961
PH0102903,Bantay,PH01029,PH01,37208
PH0102904,Burgos,PH01029,PH01,12860
PH0102905,Cabugao,PH01029,PH01,39709
PH0102906,City of Candon,PH01029,PH01,63852
PH0102907,Caoayan,PH01029,PH01,21806
PH0102908,Cervantes,PH01029,PH01,17840
PH0102909,Galimuyod,PH01029,PH01,11863
PH0102910,Gregorio del Pilar (Concepcion),PH01029,PH01,6182
PH0102911,Lidlidda,PH01029,PH01,4977
PH0102912,Magsingal,PH01029,PH01,34851
PH0102913,Nagbukel,PH01029,PH01,5717
PH0102914,Narvacan,PH01029,PH01,45324
PH0102915,Quirino (Angkaki),PH01029,PH01,8801
PH0102916,Salcedo (Baugen),PH01029,PH01,11647
PH0102917,San Emilio,PH01029,PH01,7570
PH0102918,San Esteban,PH01029,PH01,8716
PH0102919,San Ildefonso,PH01029,PH01,9008
PH0102920,San Juan (Lapog),PH01029,PH01,27857
PH0102921,San Vicente,PH01029,PH01,14454
PH0102922,Santa,PH01029,PH01,15800
PH0102923,Santa Catalina,PH01029,PH01,14353
PH0102924,Santa Cruz,PH01029,PH01,42318
PH0102925,Santa Lucia,PH01029,PH01,26163
PH0102926,Santa Maria,PH01029,PH01,32687
PH0102927,Santiago,PH01029,PH01,19661
PH0102928,Santo Domingo,PH01029,PH01,28813
PH0102929,Sigay,PH01029,PH01,3336
PH0102930,Sinait,PH01029,PH01,26408
PH0102931,Sugpon,PH01029,PH01,6247
PH0102932,Suyo,PH01029,PH01,12722
PH0102933,Tagudin,PH01029,PH01,41004
PH0102934,City of Vigan (Capital),PH01029,PH01,60461
PH0103301,Agoo,PH01033,PH01,68193
PH0103302,Aringay,PH01033,PH01,51244
PH0103303,Bacnotan,PH01033,PH01,44474
PH0103304,Bagulin,PH01033,PH01,14868
PH0103305,Balaoan,PH01033,PH01,40657
PH0103306,Bangar,PH01033,PH01,37812
PH0103307,Bauang,PH01033,PH01,81734
PH0103308,Burgos,PH01033,PH01,8352
PH0103309,Caba,PH01033,PH01,23020
PH0103310,Luna,PH01033,PH01,36938
PH0103311,Naguilian,PH01033,PH01,65460
PH0103312,Pugo,PH01033,PH01,26736
PH0103313,Rosario,PH01033,PH01,59555
PH0103314,City of San Fernando (Capital),PH01033,PH01,132416
PH0103315,San Gabriel,PH01033,PH01,20942
PH0103316,San Juan,PH01033,PH01,40423
PH0103317,Santo Tomas,PH01033,PH01,44512
PH0103318,Santol,PH01033,PH01,13070
PH0103319,Sudipen,PH01033,PH01,17660
PH0103320,Tubao,PH01033,PH01,31494
PH0105501,Agno,PH01055,PH01,28849
PH0105502,Aguilar,PH01055,PH01,44083
PH0105503,City of Alaminos,PH01055,PH01,96436
PH0105504,Alcala,PH01055,PH01,46784
PH0105505,Anda,PH01055,PH01,43405
PH0105506,Asingan,PH01055,PH01,58962
PH0105507,Balungao,PH01055,PH01,40385
PH0105508,Bani,PH01055,PH01,58448
PH0105509,Basista,PH01055,PH01,37334
PH0105510,Bautista,PH01055,PH01,35664
PH0105511,Bayambang,PH01055,PH01,128177
PH0105512,Binalonan,PH01055,PH01,56311
PH0105513,Binmaley,PH01055,PH01,89312
PH0105514,Bolinao,PH01055,PH01,95655
PH0105515,Bugallon,PH01055,PH01,71506
PH0105516,Burgos,PH01055,PH01,28796
PH0105517,Calasiao,PH01055,PH01,100344
PH0105518,Dagupan City,PH01055,PH01,181268
PH0105519,Dasol,PH01055,PH01,32618
PH0105520,Infanta,PH01055,PH01,26100
PH0105521,Labrador,PH01055,PH01,26847
PH0105522,Lingayen (Capital),PH01055,PH01,109219
PH0105523,Mabini,PH01055,PH01,25505
PH0105524,Malasiqui,PH01055,PH01,139849
PH0105525,Manaoag,PH01055,PH01,77555
PH0105526,Mangaldan,PH01055,PH01,118433
PH0105527,Mangatarem,PH01055,PH01,77566
PH0105528,Mapandan,PH01055,PH01,41349
PH0105529,Natividad,PH01055,PH01,26815
PH0105530,Pozorrubio,PH01055,PH01,74373
PH0105531,Rosales,PH01055,PH01,68029
PH0105532,San Carlos City,PH01055,PH01,210709
PH0105533,San Fabian,PH01055,PH01,90973
PH0105534,San Jacinto,PH01055,PH01,46087
PH0105535,San Manuel,PH01055,PH01,64712
PH0105536,San Nicolas,PH01055,PH01,37418
PH0105537,San Quintin,PH01055,PH01,33897
PH0105538,Santa Barbara,PH01055,PH01,90554
PH0105539,Santa Maria,PH01055,PH01,35997
PH0105540,Santo Tomas,PH01055,PH01,15794
PH0105541,Sison,PH01055,PH01,53428
PH0105542,Sual,PH01055,PH01,39307
PH0105543,Tayug,PH01055,PH01,48327
PH0105544,Umingan,PH01055,PH01,82968
PH0105545,Urbiztondo,PH01055,PH01,53338
PH0105546,City of Urdaneta,PH01055,PH01,144094
PH0105547,Villasis,PH01055,PH01,66940
PH0105548,Laoac,PH01055,PH01,34726
PH0200901,Basco (Capital),PH02009,PH02,9890
PH0200902,Itbayat,PH02009,PH02,2677
PH0200903,Ivana,PH02009,PH02,1470
PH0200904,Mahatao,PH02009,PH02,1537
PH0200905,Sabtang,PH02009,PH02,1602
PH0200906,Uyugan,PH02009,PH02,1395
PH0201501,Abulug,PH02015,PH02,35725
PH0201502,Alcala,PH02015,PH02,40749
PH0201503,Allacapan,PH02015,PH02,36957
PH0201504,Amulung,PH02015,PH02,52603
PH0201505,Aparri,PH02015,PH02,73686
PH0201506,Baggao,PH02015,PH02,90913
PH0201507,Ballesteros,PH02015,PH02,38020
PH0201508,Buguey,PH02015,PH02,33227
PH0201509,Calayan,PH02015,PH02,17549
PH0201510,Camalaniugan,PH02015,PH02,27636
PH0201511,Claveria,PH02015,PH02,31102
PH0201512,Enrile,PH02015,PH02,41990
PH0201513,Gattaran,PH02015,PH02,59733
PH0201514,Gonzaga,PH02015,PH02,43559
PH0201515,Iguig,PH02015,PH02,32122
PH0201516,Lal-lo,PH02015,PH02,50158
PH0201517,Lasam,PH02015,PH02,42919
PH0201518,Pamplona,PH02015,PH02,24528
PH0201519,Peñablanca,PH02015,PH02,50777
PH0201520,Piat,PH02015,PH02,24662
PH0201521,Rizal,PH02015,PH02,18704
PH0201522,Sanchez-Mira,PH02015,PH02,26801
PH0201523,Santa Ana,PH02015,PH02,37375
PH0201524,Santa Praxedes,PH02015,PH02,5210
PH0201525,Santa Teresita,PH02015,PH02,21668
PH0201526,Santo Niño (Faire),PH02015,PH02,29102
PH0201527,Solana,PH02015,PH02,93235
PH0201528,Tuao,PH02015,PH02,68558
PH0201529,Tuguegarao City (Capital),PH02015,PH02,181130
PH0203101,Alicia,PH02031,PH02,83213
PH0203102,Angadanan,PH02031,PH02,47350
PH0203103,Aurora,PH02031,PH02,37627
PH0203104,Benito Soliven,PH02031,PH02,33207
PH0203105,Burgos,PH02031,PH02,25393
PH0203106,Cabagan,PH02031,PH02,57569
PH0203107,Cabatuan,PH02031,PH02,42125
PH0203108,City of Cauayan,PH02031,PH02,138950
PH0203109,Cordon,PH02031,PH02,45344
PH0203110,Dinapigue,PH02031,PH02,5181
PH0203111,Divilacan,PH02031,PH02,6896
PH0203112,Echague,PH02031,PH02,84904
PH0203113,Gamu,PH02031,PH02,31214
PH0203114,Ilagan City (Capital),PH02031,PH02,161253
PH0203115,Jones,PH02031,PH02,47503
PH0203116,Luna,PH02031,PH02,21086
PH0203117,Maconacon,PH02031,PH02,5568
PH0203118,Delfin Albano (Magsaysay),PH02031,PH02,27950
PH0203119,Mallig,PH02031,PH02,33604
PH0203120,Naguilian,PH02031,PH02,35641
PH0203121,Palanan,PH02031,PH02,18971
PH0203122,Quezon,PH02031,PH02,27535
PH0203123,Quirino,PH02031,PH02,28224
PH0203124,Ramon,PH02031,PH02,56479
